Well_ID,Soil_Type
31999,KSFC000001
31999,KSFC000001
32022,KSFC000002
32045,KSFC000003
32114,KSFC000006
32115,KSFC000007
32163,KSFC000006
32212,KSFC000007
32258,KSFC000007
32403,KSFC000007
32426,KSFC000004
32477,KSFC000006
32496,KSFC000001
32588,KSFC000004
32619,KSFC000007
32676,KSFC000004
32883,KSFC000007
32899,KSFC000006
32913,KSFC000005
32930,KSFC000007
32930,KSFC000007
33088,KSFC000004
33134,KSFC000004
33218,KSFC000004
33292,KSFC000001
33295,KSFC000003
33313,KSFC000007
33320,KSFC000006
33339,KSFC000006
33366,KSFC000007
33366,KSFC000002
33394,KSFC000007
33403,KSFC000006
33531,KSFC000006
33648,KSFC000005
33659,KSFC000001
33668,KSFC000003
33668,KSFC000005
33668,KSFC000006
33668,KSFC000006
33700,KSFC000004
33712,KSFC000004
33790,KSFC000004
33790,KSFC000004
33807,KSFC000007
33811,KSFC000003
33845,KSFC000004
33846,KSFC000007
33853,KSFC000007
33905,KSFC000004
33918,KSFC000006
33918,KSFC000002
33918,KSFC000006
33918,KSFC000002
33918,KSFC000002
33998,KSFC000007
34118,KSFC000007
34118,KSFC000007
34165,KSFC000002
34245,KSFC000001
34271,KSFC000003
34271,KSFC000003
34271,KSFC000003
34313,KSFC000007
34313,KSFC000007
34351,KSFC000004
34491,KSFC000007
34526,KSFC000007
34541,KSFC000005
34566,KSFC000007
34840,KSFC000006
34843,KSFC000005
34990,KSFC000001
35027,KSFC000004
35048,KSFC000004
35066,KSFC000007
35089,KSFC000007
35094,KSFC000007
35147,KSFC000007
35191,KSFC000004
35206,KSFC000001
35265,KSFC000004
35315,KSFC000007
35315,KSFC000002
35315,KSFC000002
35357,KSFC000001
35435,KSFC000001
35490,KSFC000007
35541,KSFC000001
35541,KSFC000001
35549,KSFC000004
35549,KSFC000004
35559,KSFC000004
35642,KSFC000004
35649,KSFC000007
35659,KSFC000002
35691,KSFC000006
35818,KSFC000003
35818,KSFC000003
35818,KSFC000005
35818,KSFC000005
35900,KSFC000004
35929,KSFC000004
36021,KSFC000007
36155,KSFC000004
36213,KSFC000002
36356,KSFC000006
36432,KSFC000007
36497,KSFC000006
36504,KSFC000007
36526,KSFC000007
36526,KSFC000007
36558,KSFC000002
36569,KSFC000007
36569,KSFC000007
36592,KSFC000007
36613,KSFC000007
36626,KSFC000007
36731,KSFC000007
36860,KSFC000004
36866,KSFC000005
36866,KSFC000007
37004,KSFC000006
37108,KSFC000002
37140,KSFC000004
37141,KSFC000004
37208,KSFC000004
37271,KSFC000003
37271,KSFC000003
37271,KSFC000003
37386,KSFC000004
37407,KSFC000007
37505,KSFC000005
37523,KSFC000004
37570,KSFC000007
37678,KSFC000007
37694,KSFC000003
37694,KSFC000007
37706,KSFC000007
37844,KSFC000006
37856,KSFC000007
37945,KSFC000007
37953,KSFC000007
38140,KSFC000002
38177,KSFC000006
38191,KSFC000006
38251,KSFC000007
38251,KSFC000007
38284,KSFC000001
38285,KSFC000001
38308,KSFC000004
38312,KSFC000002
38312,KSFC000007
38409,KSFC000006
38491,KSFC000007
38491,KSFC000002
38579,KSFC000006
38579,KSFC000004
38690,KSFC000004
38690,KSFC000004
38701,KSFC000001
38702,KSFC000006
38809,KSFC000006
38849,KSFC000007
38853,KSFC000004
38984,KSFC000007
39040,KSFC000004
39053,KSFC000004
39065,KSFC000006
39113,KSFC000004
39119,KSFC000004
39161,KSFC000003
39177,KSFC000007
39212,KSFC000004
39223,KSFC000005
39386,KSFC000007
39401,KSFC000006
39455,KSFC000007
39517,KSFC000004
39588,KSFC000004
39636,KSFC000007
39682,KSFC000007
39692,KSFC000007
39697,KSFC000001
39698,KSFC000003
39698,KSFC000003
39739,KSFC000004
39764,KSFC000007
39775,KSFC000006
39801,KSFC000006
39801,KSFC000006
39990,KSFC000005
39993,KSFC000006
40001,KSFC000004
40008,KSFC000004
40079,KSFC000004
40134,KSFC000007
40201,KSFC000007
40201,KSFC000007
40217,KSFC000004
40217,KSFC000004
40217,KSFC000004
40219,KSFC000001
40290,KSFC000006
40356,KSFC000004
40447,KSFC000007
40447,KSFC000007
40468,KSFC000004
